x,y
0,"tensor(0.0596, device='cuda:0')"
1,"tensor(0.0698, device='cuda:0')"
2,"tensor(0.0760, device='cuda:0')"
3,"tensor(0.0747, device='cuda:0')"
4,"tensor(0.0745, device='cuda:0')"
5,"tensor(0.0763, device='cuda:0')"
6,"tensor(0.0766, device='cuda:0')"
7,"tensor(0.0797, device='cuda:0')"
8,"tensor(0.0763, device='cuda:0')"
9,"tensor(0.0776, device='cuda:0')"
10,"tensor(0.0771, device='cuda:0')"
11,"tensor(0.0771, device='cuda:0')"
12,"tensor(0.0767, device='cuda:0')"
13,"tensor(0.0765, device='cuda:0')"
14,"tensor(0.0760, device='cuda:0')"
15,"tensor(0.0794, device='cuda:0')"
16,"tensor(0.0765, device='cuda:0')"
17,"tensor(0.0780, device='cuda:0')"
18,"tensor(0.0775, device='cuda:0')"
19,"tensor(0.0767, device='cuda:0')"
20,"tensor(0.0776, device='cuda:0')"
21,"tensor(0.0785, device='cuda:0')"
22,"tensor(0.0770, device='cuda:0')"
23,"tensor(0.0770, device='cuda:0')"
24,"tensor(0.0766, device='cuda:0')"
