x,y
0,"tensor([ 0.0865,  0.0276,  0.2384,  ..., -0.0969, -0.1517,  0.0082])"
1,"tensor([ 0.1932,  0.2546,  0.3213,  ..., -0.0045, -0.1932, -0.0398])"
2,"tensor([ 0.0921,  0.0056,  0.3711,  ...,  0.0532, -0.0983, -0.1401])"
3,"tensor([ 0.0583,  0.0637,  0.2945,  ...,  0.0341,  0.0661, -0.2430])"
4,"tensor([ 0.0669,  0.1864,  0.1736,  ...,  0.1516, -0.2706, -0.0737])"
5,"tensor([-0.0010,  0.1204,  0.1801,  ...,  0.1678, -0.2122, -0.1056])"
6,"tensor([ 0.0458, -0.0107,  0.1621,  ...,  0.1570, -0.3028, -0.0439])"
7,"tensor([ 0.0538,  0.0202,  0.2335,  ...,  0.1617, -0.2226, -0.2373])"
8,"tensor([ 0.1502,  0.0633,  0.1925,  ...,  0.2031, -0.2650,  0.0727])"
9,"tensor([ 0.0106,  0.0121,  0.0671,  ...,  0.2563, -0.2708, -0.0723])"
10,"tensor([ 0.0132,  0.0581,  0.1841,  ...,  0.2381, -0.0714,  0.0159])"
11,"tensor([ 0.0352,  0.0311,  0.1922,  ...,  0.2296, -0.0671, -0.0937])"
12,"tensor([ 0.0426,  0.0271,  0.2762,  ...,  0.2608, -0.2543, -0.1635])"
13,"tensor([ 0.0545,  0.0520,  0.2405,  ...,  0.2915, -0.2873, -0.1495])"
14,"tensor([ 0.0840,  0.0248,  0.1814,  ...,  0.2957, -0.1745, -0.0622])"
15,"tensor([-0.0263,  0.0512,  0.0966,  ...,  0.2821, -0.2289, -0.0647])"
16,"tensor([ 0.0277,  0.0068,  0.1044,  ...,  0.3206, -0.2831, -0.2593])"
17,"tensor([-0.0014,  0.0079,  0.1663,  ...,  0.3559, -0.2250, -0.1238])"
18,"tensor([-0.0384,  0.0558,  0.2446,  ...,  0.3717, -0.3010, -0.2221])"
19,"tensor([-0.0321, -0.0326,  0.1611,  ...,  0.3358, -0.2709, -0.4540])"
20,"tensor([-0.0363, -0.0148,  0.2645,  ...,  0.3317, -0.2436, -0.2133])"
21,"tensor([-0.0167, -0.0386,  0.1859,  ...,  0.3467, -0.1722, -0.1431])"
22,"tensor([-0.0412, -0.0549,  0.1781,  ...,  0.3999, -0.2082, -0.2530])"
23,"tensor([ 0.0103, -0.0620,  0.1842,  ...,  0.3540, -0.3853, -0.1222])"
24,"tensor([ 0.0194, -0.0602,  0.1990,  ...,  0.3504, -0.2831, -0.3318])"
