x,y
0,"tensor(0.0269, device='cuda:0')"
1,"tensor(0.0310, device='cuda:0')"
2,"tensor(0.0318, device='cuda:0')"
3,"tensor(0.0348, device='cuda:0')"
4,"tensor(0.0346, device='cuda:0')"
5,"tensor(0.0333, device='cuda:0')"
6,"tensor(0.0336, device='cuda:0')"
7,"tensor(0.0356, device='cuda:0')"
8,"tensor(0.0329, device='cuda:0')"
9,"tensor(0.0351, device='cuda:0')"
10,"tensor(0.0344, device='cuda:0')"
11,"tensor(0.0338, device='cuda:0')"
12,"tensor(0.0345, device='cuda:0')"
13,"tensor(0.0341, device='cuda:0')"
14,"tensor(0.0336, device='cuda:0')"
15,"tensor(0.0351, device='cuda:0')"
16,"tensor(0.0335, device='cuda:0')"
17,"tensor(0.0348, device='cuda:0')"
18,"tensor(0.0367, device='cuda:0')"
19,"tensor(0.0336, device='cuda:0')"
20,"tensor(0.0352, device='cuda:0')"
21,"tensor(0.0353, device='cuda:0')"
22,"tensor(0.0338, device='cuda:0')"
23,"tensor(0.0357, device='cuda:0')"
24,"tensor(0.0334, device='cuda:0')"
