x,y
0,15.991000175476074
1,15.990666389465332
2,15.9903564453125
3,15.990084648132324
4,15.98984146118164
5,15.989622116088867
6,15.989429473876953
7,15.989255905151367
8,15.989120483398438
9,15.988972663879395
10,15.988859176635742
11,15.988788604736328
12,15.988734245300293
13,15.988670349121094
14,15.988633155822754
15,15.988609313964844
16,15.988579750061035
17,15.988571166992188
18,15.98854923248291
19,15.988519668579102
20,15.988541603088379
21,15.98851490020752
22,15.98852252960205
23,15.988511085510254
24,15.988502502441406
