x,y
0,22.617412567138672
1,22.617277145385742
2,22.617219924926758
3,22.61719512939453
4,22.617176055908203
5,22.61715316772461
6,22.617143630981445
7,22.617137908935547
8,22.61712074279785
9,22.61711311340332
10,22.617101669311523
11,22.617095947265625
12,22.61708641052246
13,22.61707305908203
14,22.6170654296875
15,22.617048263549805
16,22.617040634155273
17,22.617021560668945
18,22.617002487182617
19,22.616987228393555
20,22.616968154907227
21,22.616954803466797
22,22.61693572998047
23,22.616928100585938
24,22.61690330505371
