x,y
0,"tensor(0.1053, device='cuda:0')"
1,"tensor(0.1245, device='cuda:0')"
2,"tensor(0.1289, device='cuda:0')"
3,"tensor(0.1352, device='cuda:0')"
4,"tensor(0.1336, device='cuda:0')"
5,"tensor(0.1299, device='cuda:0')"
6,"tensor(0.1290, device='cuda:0')"
7,"tensor(0.1365, device='cuda:0')"
8,"tensor(0.1300, device='cuda:0')"
9,"tensor(0.1343, device='cuda:0')"
10,"tensor(0.1344, device='cuda:0')"
11,"tensor(0.1329, device='cuda:0')"
12,"tensor(0.1349, device='cuda:0')"
13,"tensor(0.1315, device='cuda:0')"
14,"tensor(0.1318, device='cuda:0')"
15,"tensor(0.1372, device='cuda:0')"
16,"tensor(0.1331, device='cuda:0')"
17,"tensor(0.1367, device='cuda:0')"
18,"tensor(0.1353, device='cuda:0')"
19,"tensor(0.1352, device='cuda:0')"
20,"tensor(0.1361, device='cuda:0')"
21,"tensor(0.1391, device='cuda:0')"
22,"tensor(0.1349, device='cuda:0')"
23,"tensor(0.1382, device='cuda:0')"
24,"tensor(0.1367, device='cuda:0')"
