_step,ours,finetune,lwf,ewc,icarl
400,27.92,11.75,29.62,16.19,46.5
401,27.82,13.74,31.48,14.75,48.21
402,27.82,15.26,31.44,14.22,49.33
403,27.92,15.91,31.92,14.15,50.37
404,27.35,16.61,32.29,14.11,49.98
405,27.84,16.53,31.53,14.27,50.15
406,27.86,16.35,31.5,14.31,49.2
407,28.43,16.79,31.9,14.51,49.99
408,28.2,16.45,31.4,15.01,50.7
409,28.82,15.97,30.48,15.15,50.39
410,29.03,16.02,30.71,15.59,50.45
411,28.72,16.13,30.77,15.46,50.18
412,29.18,15.98,30.22,15.82,50.73
413,29.31,15.95,30.25,16.07,49.68
414,28.49,15.58,30.1,16.4,50.88
415,29.49,15.58,30.34,16.59,49.93
416,28.99,15.88,30.22,16.31,50.97
417,29.32,15.67,29.87,16.8,50.02
418,29.78,15.64,29.55,17.26,50.48
419,30.03,15.6,29.75,17.19,50.53
420,30.08,15.86,30.0,16.69,50.36
421,29.94,15.62,28.79,17.29,50.34
422,30.05,15.67,28.77,17.37,50.64
423,30.11,15.73,28.99,17.35,50.63
424,30.24,15.94,29.32,17.72,51.07
425,30.66,15.53,30.06,17.88,51.48
426,30.89,15.59,29.77,18.17,50.52
427,30.77,15.33,29.41,17.92,50.66
428,30.92,15.5,29.13,17.79,49.24
429,30.8,15.6,29.3,17.8,49.72
430,31.22,15.79,29.54,17.99,50.39
431,31.57,15.71,29.63,18.31,50.95
432,31.26,15.63,29.7,18.27,49.81
433,30.93,15.56,29.35,18.24,50.76
434,31.63,15.96,28.02,18.08,49.79
435,31.51,15.71,28.62,17.96,50.24
436,31.51,15.76,29.45,18.29,50.74
437,31.49,15.74,28.69,17.87,50.43
438,31.57,15.83,29.27,17.98,50.08
439,32.14,15.58,28.79,18.2,51.51
440,31.36,15.71,28.86,18.69,50.16
441,32.1,16.01,28.32,18.4,49.96
442,31.35,15.68,29.11,18.66,50.67
443,31.77,15.94,29.32,18.34,50.51
444,31.86,15.72,29.28,18.49,50.55
445,31.03,15.71,28.91,18.24,51.05
446,31.17,15.42,29.19,18.7,50.86
447,32.45,15.65,29.35,18.73,50.15
448,31.78,15.89,29.1,18.64,49.86
449,31.82,15.87,29.23,18.73,50.02
450,31.27,15.86,29.02,18.9,50.85
451,31.81,15.85,28.85,18.34,50.57
452,32.28,15.75,28.65,18.31,50.2
453,32.2,15.95,29.24,18.8,49.9
454,31.7,15.67,29.19,18.33,50.89
455,31.79,15.81,28.89,18.36,50.69
456,31.83,15.72,29.15,18.72,50.78
457,31.35,15.87,29.57,18.9,50.76
458,31.88,16.15,29.43,18.76,50.39
459,31.42,16.01,28.36,18.7,49.94
460,32.06,16.05,28.53,18.67,49.85
461,31.66,15.78,28.42,18.71,50.87
462,32.44,15.85,28.59,18.57,49.4
463,32.01,15.59,28.6,19.03,50.57
464,31.92,15.96,28.89,18.73,50.09
465,31.04,15.71,28.57,18.79,50.2
466,31.3,15.7,29.64,18.82,50.45
467,31.67,15.65,29.1,18.54,49.36
468,31.78,15.93,29.12,18.59,50.3
469,31.57,15.79,29.16,18.6,50.35
470,31.43,16.16,28.81,18.98,49.38
471,31.09,15.75,28.7,19.13,49.64
472,31.65,15.85,28.94,18.77,51.4
473,31.17,15.88,29.55,18.78,50.09
474,31.15,15.84,29.54,18.68,50.63
475,31.77,15.88,29.81,18.65,50.33
476,31.05,15.88,29.43,18.19,49.62
477,31.07,15.63,28.86,18.5,50.4
478,30.87,15.76,29.3,18.71,50.35
479,31.37,15.76,28.97,18.83,49.68
480,30.66,15.9,29.36,18.45,49.89
481,30.97,15.87,29.36,18.77,50.48
482,30.95,15.85,29.02,18.84,50.51
483,30.92,16.12,28.56,18.94,50.84
484,30.74,16.06,28.88,18.74,49.99
485,30.62,15.84,29.16,18.8,50.87
486,30.86,15.62,29.23,18.63,51.39
487,30.7,15.88,29.89,18.74,50.05
488,30.58,15.65,29.15,18.33,50.52
489,31.41,15.96,28.87,18.51,49.66
490,29.84,15.72,28.65,18.47,50.17
491,31.16,15.86,28.71,18.54,49.66
492,30.72,16.13,28.57,18.59,51.57
493,30.41,15.92,29.11,18.95,50.11
494,30.94,15.97,28.73,18.75,49.44
495,30.61,16.14,28.74,18.8,49.87
496,30.73,15.88,28.42,18.58,50.58
497,30.46,16.18,28.42,18.82,49.86
498,30.07,15.8,28.89,18.58,50.0
499,30.59,16.04,29.68,18.67,51.35
