_step,ours,finetune,lwf,ewc,icarl
0,74.8,78.5,74.8,77.7,76.8
1,56.58,39.42,59.15,44.28,67.2
2,44.98,27.18,45.75,30.9,61.32
3,36.52,19.51,36.6,23.04,53.69
4,30.59,16.04,29.68,18.67,51.35
