_step,ours,finetune,lwf,ewc,icarl
0,11.65,9.55,11.65,8.5,8.1
1,24.15,22.5,24.15,21.95,30.85
2,34.3,37.55,34.3,38.0,36.6
3,41.65,44.55,41.65,44.5,43.8
4,45.75,49.15,45.75,49.5,48.7
5,49.8,52.0,49.8,51.05,52.65
6,53.35,54.65,53.35,54.05,56.65
7,56.05,57.65,56.05,57.15,59.55
8,56.95,58.2,56.95,59.1,59.8
9,58.9,59.65,58.9,59.55,60.4
10,61.05,62.3,61.05,62.15,61.35
11,62.1,63.25,62.1,62.5,63.4
12,61.4,64.2,61.4,63.5,64.4
13,63.3,64.9,63.3,64.8,64.95
14,64.85,64.1,64.85,65.4,66.4
15,66.6,65.35,66.6,65.65,65.45
16,67.05,66.75,67.05,66.1,67.3
17,67.5,68.4,67.5,68.15,67.45
18,68.3,68.9,68.3,67.2,68.5
19,67.45,67.55,67.45,68.8,69.2
20,69.4,67.95,69.4,67.8,70.95
21,69.5,69.65,69.5,68.2,69.9
22,70.55,68.9,70.55,68.8,69.3
23,70.35,69.05,70.35,70.15,72.25
24,70.15,69.4,70.15,69.95,69.65
25,71.4,70.15,71.4,71.15,70.75
26,71.05,69.55,71.05,70.95,71.3
27,71.1,71.0,71.1,71.6,71.85
28,71.15,70.75,71.15,72.0,72.05
29,73.2,71.05,73.2,71.8,72.7
30,72.1,72.3,72.1,72.6,72.75
31,72.65,71.85,72.65,72.95,72.7
32,73.05,72.3,73.05,73.25,73.45
33,71.7,73.05,71.7,73.05,73.8
34,73.2,72.6,73.2,71.55,74.7
35,72.3,72.7,72.3,72.5,74.1
36,71.95,73.8,71.95,73.4,74.5
37,73.25,72.95,73.25,73.6,75.15
38,72.55,73.5,72.55,73.7,72.85
39,73.25,73.35,73.25,74.05,75.15
40,74.75,74.6,74.75,73.35,75.5
41,71.95,74.9,71.95,73.6,75.55
42,74.15,74.45,74.15,74.5,73.3
43,73.2,74.6,73.2,73.9,74.25
44,74.6,74.15,74.6,75.2,76.0
45,73.7,75.15,73.7,74.0,75.85
46,74.85,73.7,74.85,74.35,76.8
47,74.6,75.85,74.6,73.95,76.5
48,75.95,74.55,75.95,74.25,75.85
49,74.4,75.4,74.4,74.8,74.6
50,75.4,74.15,75.4,74.85,76.0
51,75.1,75.65,75.1,74.8,75.05
52,75.1,75.25,75.1,75.05,73.4
53,75.9,75.4,75.9,74.95,77.15
54,75.75,75.85,75.75,75.2,76.75
55,74.7,75.6,74.7,75.75,77.0
56,75.1,76.0,75.1,75.05,77.25
57,75.7,76.25,75.7,75.3,75.5
58,74.6,75.85,74.6,75.15,75.25
59,75.15,77.55,75.15,75.6,76.9
60,76.15,75.9,76.15,75.6,77.2
61,76.4,76.05,76.4,75.95,75.8
62,76.15,77.65,76.15,76.0,75.8
63,75.6,77.1,75.6,76.15,76.05
64,75.9,78.25,75.9,76.95,77.3
65,75.25,77.5,75.25,76.7,76.05
66,76.7,77.65,76.7,76.8,76.05
67,75.6,76.2,75.6,76.3,76.55
68,77.35,76.65,77.35,75.5,75.25
69,76.1,77.3,76.1,76.75,76.85
70,76.05,76.9,76.05,76.7,75.35
71,75.65,77.3,75.65,77.5,76.25
72,75.35,77.4,75.35,77.25,76.85
73,76.55,76.65,76.55,76.0,76.6
74,76.75,77.25,76.75,76.0,76.25
75,75.6,76.75,75.6,76.0,76.95
76,77.0,76.55,77.0,76.75,76.4
77,75.35,76.9,75.35,76.05,77.4
78,77.4,75.7,77.4,77.7,76.25
79,77.6,76.8,77.6,77.4,77.95
80,75.8,76.6,75.8,75.65,77.45
81,77.1,76.35,77.1,76.85,76.3
82,76.7,76.15,76.7,76.95,77.0
83,75.6,78.2,75.6,78.05,75.55
84,76.0,78.25,76.0,77.05,76.9
85,76.95,77.25,76.95,76.55,79.3
86,76.65,78.4,76.65,76.75,77.9
87,76.7,76.2,76.7,77.75,77.85
88,77.55,76.55,77.55,77.25,76.65
89,74.55,76.75,74.55,76.8,75.85
90,76.25,77.45,76.25,76.8,75.95
91,78.75,77.9,78.75,76.95,76.6
92,76.0,78.85,76.0,76.55,75.6
93,77.75,77.95,77.75,76.9,79.05
94,76.6,76.55,76.6,77.65,77.25
95,76.65,76.1,76.65,77.15,76.55
96,77.0,77.6,77.0,76.85,77.25
97,76.95,78.55,76.95,78.4,77.0
98,76.55,78.0,76.55,77.45,77.1
99,74.8,78.5,74.8,77.7,76.8
