_step,ours,finetune,lwf,ewc,icarl
200,38.03,22.6,39.05,26.62,51.07
201,37.5,25.87,42.45,25.28,55.82
202,37.78,28.55,43.88,24.48,56.93
203,37.23,29.03,44.87,23.95,58.42
204,37.68,29.2,46.88,23.8,59.13
205,38.23,28.97,46.27,24.13,59.35
206,37.6,28.55,46.72,24.52,59.28
207,37.87,28.35,46.08,24.03,60.27
208,37.78,27.57,47.65,24.23,59.48
209,38.2,27.18,45.83,25.02,59.95
210,38.85,27.12,46.83,25.38,60.07
211,38.25,26.75,46.5,25.62,60.27
212,38.53,26.95,46.33,26.37,60.22
213,39.03,26.65,46.25,26.27,60.1
214,39.32,26.57,46.47,26.93,61.22
215,39.42,27.0,46.33,27.9,60.53
216,40.48,26.15,46.65,27.1,60.45
217,40.12,26.25,46.1,27.78,61.32
218,40.55,26.68,45.37,27.73,60.45
219,40.78,26.23,46.13,27.95,60.55
220,40.67,26.47,45.88,28.6,60.78
221,41.13,26.5,45.77,29.05,61.1
222,41.15,26.33,45.62,29.45,61.27
223,41.85,25.98,45.98,29.28,60.9
224,41.95,26.07,46.08,28.75,60.95
225,42.07,26.02,45.17,28.62,61.25
226,42.7,26.15,45.68,28.52,61.03
227,43.0,26.4,45.85,29.93,60.73
228,43.15,26.35,45.68,30.08,60.5
229,42.45,26.22,45.2,30.05,61.02
230,43.02,26.43,45.05,30.28,61.3
231,43.1,26.7,44.78,29.85,62.22
232,43.17,26.05,45.48,30.38,61.23
233,43.73,26.58,45.78,30.6,60.67
234,43.82,26.53,46.0,30.38,60.95
235,43.95,26.15,45.2,29.9,61.42
236,44.02,26.38,45.72,29.98,61.75
237,44.62,25.83,44.93,30.25,61.47
238,44.27,26.2,45.07,30.6,61.68
239,44.33,26.33,46.08,30.42,60.27
240,44.72,26.27,45.48,30.72,61.17
241,43.95,26.2,44.97,30.83,61.68
242,44.58,26.32,45.15,31.27,60.82
243,45.38,25.92,45.2,31.22,61.27
244,45.67,26.32,44.55,31.17,61.45
245,45.15,26.85,46.07,30.82,61.37
246,45.82,26.78,45.28,31.6,61.73
247,45.93,26.53,44.43,31.2,60.22
248,45.77,26.02,44.62,30.88,60.3
249,45.87,26.15,44.92,30.97,61.4
250,45.15,26.78,45.25,31.45,60.68
251,45.65,26.48,44.28,31.7,61.82
252,45.68,26.38,45.8,31.07,60.82
253,46.28,26.12,45.37,31.45,60.97
254,45.38,26.72,45.83,32.08,61.02
255,46.3,26.67,45.27,31.48,60.92
256,46.0,26.38,45.27,31.28,60.78
257,46.22,26.63,46.2,31.5,61.57
258,46.37,27.0,44.5,30.83,61.33
259,46.3,26.45,45.8,31.62,60.82
260,46.18,26.47,44.98,31.72,61.53
261,46.67,26.67,45.12,31.58,61.82
262,46.33,26.77,45.58,31.07,61.32
263,46.38,26.73,44.93,31.82,61.18
264,45.9,26.72,45.5,31.93,61.13
265,46.83,26.75,45.47,31.5,61.13
266,45.53,26.5,46.02,31.38,61.35
267,46.05,26.6,45.4,31.37,60.53
268,45.72,26.68,46.2,31.8,60.93
269,46.08,27.0,45.48,31.77,61.22
270,46.85,26.72,45.62,31.53,60.43
271,46.68,26.82,45.95,31.8,61.17
272,46.35,26.72,44.83,31.97,60.85
273,46.8,26.7,45.28,31.3,61.05
274,45.58,27.05,45.88,31.37,61.18
275,45.75,26.55,44.87,31.22,60.9
276,46.08,27.0,45.48,31.13,61.53
277,46.93,26.9,46.23,31.1,61.0
278,45.85,26.65,45.77,31.4,60.92
279,45.72,26.83,45.72,31.23,61.35
280,45.52,26.77,46.47,31.88,61.57
281,45.38,26.87,45.58,31.75,61.22
282,46.28,26.57,46.1,31.57,60.93
283,45.68,26.38,46.25,31.67,60.7
284,46.12,26.88,45.57,31.42,61.13
285,46.07,26.77,46.15,31.22,61.53
286,45.5,26.93,45.73,31.05,61.07
287,45.83,26.38,46.6,31.27,61.47
288,45.55,27.03,46.28,30.92,61.28
289,45.37,26.45,45.88,30.95,60.2
290,45.68,26.82,45.47,31.07,61.07
291,45.8,26.72,46.33,30.63,61.65
292,45.58,26.9,45.77,31.08,61.9
293,45.48,26.45,46.03,30.85,61.6
294,45.93,26.6,46.32,30.67,59.93
295,45.48,26.58,46.23,30.95,60.67
296,45.25,26.83,45.37,31.22,60.98
297,45.57,26.88,46.5,30.52,60.8
298,44.87,27.27,45.3,30.53,59.6
299,44.98,27.18,45.75,30.9,61.32
