client,block,t,tprime,eta_min,eta_max,eta_min_norm,eta_max_norm,sigma,eps,width_t,width_tprime
1,4,1,3,23.783396,44.175728,1.051087526664936,1.952309795157017,46.43478,29.713745,31.97525978088379,31.970979690551758
1,0,1,4,42.33836,132.77014,0.6615368723869324,2.074533462524414,105.63791,0.18170738,nan,nan
1,1,1,4,68.83684,202.4273,1.075575590133667,3.16292667388916,154.87607,0.12266953,11.32412338256836,11.326481819152832
1,2,1,4,45.337452,103.679756,1.0018256157758267,2.2910205829913,84.57077,12.451836,15.98827838897705,15.988936424255371
1,3,1,4,33.09615,66.04633,1.0342546701431274,2.063947916030884,58.186337,30.664852,22.61716651916504,22.61530113220215
1,4,1,4,23.783396,44.175728,1.051087526664936,1.952309795157017,49.594975,27.92345,31.97525978088379,31.96943473815918
1,0,2,3,42.114006,138.31363,0.6580313444137573,2.1611504554748535,113.83216,0.20178343,nan,nan
1,1,2,3,73.73203,208.14449,1.152063012123108,3.2522575855255127,171.1182,0.0947738,11.325143814086914,11.325660705566406
1,2,2,3,45.826805,103.853966,1.0126388955234789,2.2948701075468914,89.07144,9.870053,15.988561630249023,15.98861026763916
1,3,2,3,32.522533,72.0765,1.0163291692733765,2.2523906230926514,59.821754,36.326656,22.616628646850586,22.615802764892578
1,4,2,3,24.614906,47.115826,1.0878354481752814,2.0822449887808285,47.9439,31.809002,31.972997665405273,31.970979690551758
1,0,2,4,42.114006,138.31363,0.6580313444137573,2.1611504554748535,115.16626,0.22688146,nan,nan
1,1,2,4,73.73203,208.14449,1.152063012123108,3.2522575855255127,169.98175,0.14862478,11.325143814086914,11.326481819152832
1,2,2,4,45.826805,103.853966,1.0126388955234789,2.2948701075468914,87.63685,15.181146,15.988561630249023,15.988936424255371
1,3,2,4,32.522533,72.0765,1.0163291692733765,2.2523906230926514,60.655167,32.383095,22.616628646850586,22.61530113220215
1,4,2,4,24.614906,47.115826,1.0878354481752814,2.0822449887808285,51.6876,33.179356,31.972997665405273,31.96943473815918
1,0,3,4,40.036385,117.891426,0.6255685091018677,1.8420535326004028,103.94041,0.15947707,nan,nan
1,1,3,4,69.08673,180.91385,1.0794801712036133,2.8267788887023926,158.52559,0.11191012,11.325660705566406,11.326481819152832
1,2,3,4,44.11421,90.695435,0.974795493126638,2.004104900229025,82.49497,11.230404,15.98861026763916,15.988936424255371
1,3,3,4,31.93623,64.789024,0.9980071783065796,2.0246570110321045,58.12061,31.774454,22.615802764892578,22.61530113220215
1,4,3,4,25.913086,47.469166,1.1452074242422507,2.0978605647415085,53.524765,31.981293,31.970979690551758,31.96943473815918
2,0,0,1,41.814964,120.48041,0.6533588171005249,1.8825063705444336,103.23631,0.12043035,nan,nan
2,1,0,1,70.71243,188.31612,1.104881763458252,2.942439317703247,161.008,0.061617807,11.323509216308594,11.324301719665527
2,2,0,1,44.948006,105.27818,0.9932199879531755,2.3263411593299756,94.31377,7.9958544,15.988348007202148,15.988423347473145
2,3,0,1,32.766468,71.016655,1.0239521265029907,2.2192704677581787,60.2596,30.819094,22.617887496948242,22.617204666137695
2,4,0,1,24.58764,43.670746,1.086630469776355,1.9299925331083163,45.904766,30.394543,31.977540969848633,31.975263595581055
2,0,0,2,41.814964,120.48041,0.6533588171005249,1.8825063705444336,115.46532,0.10995844,nan,nan
2,1,0,2,70.71243,188.31612,1.104881763458252,2.942439317703247,171.56055,0.11249532,11.323509216308594,11.325185775756836
2,2,0,2,44.948006,105.27818,0.9932199879531755,2.3263411593299756,92.903275,11.806871,15.988348007202148,15.98859691619873
