x,y
31.978673934936523,nan
31.978525161743164,82.15
31.978389739990234,83.55
31.97825813293457,83.6
31.97812843322754,83.65
31.978010177612305,84.05
31.97789192199707,84.00000000000001
31.977785110473633,83.95
31.977680206298828,83.95
31.97757911682129,83.95
31.977481842041016,83.95
31.977386474609375,83.9
31.977296829223633,83.9
31.977205276489258,83.85000000000001
31.97711753845215,83.85000000000001
31.97702980041504,83.75
31.976947784423828,83.85000000000001
31.976865768432617,83.7
31.97678565979004,83.7
31.976709365844727,83.75
31.976633071899414,83.7
31.9765567779541,83.7
31.976484298706055,83.75
31.976411819458008,83.55
31.976343154907227,83.75
